date,zoo_strict_ret,zoo_extended_ret,benchmark_ret,zoo_strict_net_ret,zoo_extended_net_ret,zoo_strict_turnover,zoo_extended_turnover,zoo_strict_cost,zoo_extended_cost,zoo_strict_nav,zoo_extended_nav,benchmark_nav,zoo_strict_net_nav,zoo_extended_net_nav
20231228,0.015266688841665113,0.01186891657725788,0.02466960352422909,0.015266688841665113,0.01186891657725788,0.0,0.0,0.0,0.0,0.9811137937855869,1.3336285118735423,0.6836486068108362,0.9811137937855869,1.3336285118735423
20231229,0.012939594999913534,0.011646019070325852,0.002866150759530006,0.012939594999913534,0.011646019070325852,0.0,0.0,0.0,0.0,0.9938090089260012,1.3491599749555518,0.6856080467844987,0.9938090089260012,1.3491599749555518
20240102,0.0035768244578608336,-0.0003921207056136681,-0.013146613318090972,0.0035768244578608336,-0.0003921207056136681,0.0,0.0,0.0,0.0,0.9973636892955702,1.3486309413941866,0.6765946229056513,0.9973636892955702,1.3486309413941866
20240103,-0.008451802346552002,-0.007511795132870877,-0.002896032435563023,-0.008451802346552002,-0.007511795132870877,0.0,0.0,0.0,0.0,0.9889341685260161,1.3385003020525825,0.674635182931989,0.9889341685260161,1.3385003020525825
20240104,0.0028915202150023547,-0.0042048565187693485,-0.008713331397037671,0.0028915202150023547,-0.0042048565187693485,0.0,0.0,0.0,0.0,0.9917936916656157,1.332872100332122,0.6687568630110015,0.9917936916656157,1.332872100332122
20240105,-0.025319634483163503,-0.022699530770683075,-0.004980955171403512,-0.025319634483163503,-0.022699530770683075,0.0,0.0,0.0,0.0,0.9666818379099349,1.302616529077248,0.6654258150557752,0.9666818379099349,1.302616529077248
20240108,-0.009732665073702398,-0.014617317321138735,-0.01383981154299152,-0.009732665073702398,-0.014617317321138735,0.0,0.0,0.0,0.0,0.9572734473487264,1.2835757699239656,0.6562164471795618,0.9572734473487264,1.2835757699239656
20240109,0.011880558918466963,0.00542715999536269,0.0023887727679903215,0.011880558918466963,0.00542715999536269,0.0,0.0,0.0,0.0,0.968646390941037,1.2905419409935137,0.6577839991584917,0.968646390941037,1.2905419409935137
20240110,0.015375385737500732,-0.008775857836502778,-0.00476616026213883,0.015375385737500732,-0.008775857836502778,0.0,0.0,0.0,0.0,0.9835397028449934,1.2792163283873101,0.6546488952006317,0.9835397028449934,1.2792163283873101
20240111,0.008952720183224945,0.017746812280683602,0.005686920083807223,0.008952720183224945,0.017746812280683602,0.0,0.0,0.0,0.0,0.9923450585936567,1.301918340433585,0.6583718311505904,0.9923450585936567,1.301918340433585
20240112,-0.012283487714556998,-0.008217043606770637,-0.003273809523809401,-0.012283487714556998,-0.008217043606770637,0.0,0.0,0.0,0.0,0.9801556002578202,1.2912204206577877,0.6562164471795617,0.9801556002578202,1.2912204206577877
20240115,0.010009518523462204,-0.00045390931144445004,-0.0011943863839951607,0.010009518523462204,-0.00045390931144445004,0.0,0.0,0.0,0.0,0.989966485894476,1.290634323685724,0.6554326711900967,0.989966485894476,1.290634323685724
